"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/25/2020","AirNow","340030010","3","11.9","ug/m3 LC","50","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/26/2020","AirNow","340030010","3","5.3","ug/m3 LC","22","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/27/2020","AirNow","340030010","3","6.2","ug/m3 LC","26","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/28/2020","AirNow","340030010","3","3.3","ug/m3 LC","14","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/29/2020","AirNow","340030010","3","2.7","ug/m3 LC","11","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/04/2020","AirNow","340030010","3","20","ug/m3 LC","68","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/05/2020","AirNow","340030010","3","4.8","ug/m3 LC","20","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/06/2020","AirNow","340030010","3","7.8","ug/m3 LC","33","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/07/2020","AirNow","340030010","3","7.8","ug/m3 LC","33","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/08/2020","AirNow","340030010","3","6","ug/m3 LC","25","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/09/2020","AirNow","340030010","3","10.6","ug/m3 LC","44","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/10/2020","AirNow","340030010","3","10.7","ug/m3 LC","45","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/11/2020","AirNow","340030010","3","12.9","ug/m3 LC","53","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/12/2020","AirNow","340030010","3","7.8","ug/m3 LC","33","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/13/2020","AirNow","340030010","3","11","ug/m3 LC","46","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/15/2020","AirNow","340030010","3","6.7","ug/m3 LC","28","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/16/2020","AirNow","340030010","3","11.3","ug/m3 LC","47","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/17/2020","AirNow","340030010","3","10.2","ug/m3 LC","43","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/18/2020","AirNow","340030010","3","12.4","ug/m3 LC","52","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/19/2020","AirNow","340030010","3","7.6","ug/m3 LC","32","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/20/2020","AirNow","340030010","3","3.8","ug/m3 LC","16","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/21/2020","AirNow","340030010","3","4.6","ug/m3 LC","19","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/22/2020","AirNow","340030010","3","10.5","ug/m3 LC","44","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/23/2020","AirNow","340030010","3","13.7","ug/m3 LC","54","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/24/2020","AirNow","340030010","3","19.4","ug/m3 LC","66","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/25/2020","AirNow","340030010","3","17.5","ug/m3 LC","62","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/26/2020","AirNow","340030010","3","13.7","ug/m3 LC","54","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/27/2020","AirNow","340030010","3","1.3","ug/m3 LC","5","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/28/2020","AirNow","340030010","3","6.2","ug/m3 LC","26","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"02/29/2020","AirNow","340030010","3","2.4","ug/m3 LC","10","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/01/2020","AirNow","340030010","3","6.6","ug/m3 LC","28","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/02/2020","AirNow","340030010","3","14.7","ug/m3 LC","56","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/03/2020","AirNow","340030010","3","14.3","ug/m3 LC","56","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/04/2020","AirNow","340030010","3","5.2","ug/m3 LC","22","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/05/2020","AirNow","340030010","3","5.6","ug/m3 LC","23","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/06/2020","AirNow","340030010","3","8.3","ug/m3 LC","35","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/07/2020","AirNow","340030010","3","2.8","ug/m3 LC","12","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/08/2020","AirNow","340030010","3","5","ug/m3 LC","21","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/09/2020","AirNow","340030010","3","11.7","ug/m3 LC","49","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/10/2020","AirNow","340030010","3","11.2","ug/m3 LC","47","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/11/2020","AirNow","340030010","3","5","ug/m3 LC","21","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/12/2020","AirNow","340030010","3","11.3","ug/m3 LC","47","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/13/2020","AirNow","340030010","3","11","ug/m3 LC","46","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/14/2020","AirNow","340030010","3","3.8","ug/m3 LC","16","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/15/2020","AirNow","340030010","3","4.7","ug/m3 LC","20","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/16/2020","AirNow","340030010","3","5.8","ug/m3 LC","24","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/17/2020","AirNow","340030010","3","9.4","ug/m3 LC","39","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/18/2020","AirNow","340030010","3","7.8","ug/m3 LC","33","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/19/2020","AirNow","340030010","3","7.9","ug/m3 LC","33","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/20/2020","AirNow","340030010","3","16.8","ug/m3 LC","61","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/21/2020","AirNow","340030010","3","2.7","ug/m3 LC","11","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"03/22/2020","AirNow","340030010","3","5.8","ug/m3 LC","24","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
